"";"X";"collection_id";"collection_date";"num_trap";"surv_year";"trap_nights";"trap_problem_bit";"num_count";"sex_id";"sex_type";"sex_name";"species_id";"species_full_name";"species_display_name";"trap_id";"trap_acronym";"trap_name";"trap_presence"
"1";1;3033442;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;52;4;"female";"Females - Mixed";35;"Aedes melanimon";"Ae melanimon";2;"CO2";"Carbon dioxide baited trap";FALSE
"2";2;3033442;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;16;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";2;"CO2";"Carbon dioxide baited trap";FALSE
"3";3;3033442;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;42;4;"female";"Females - Mixed";70;"Culex tarsalis";"Cx tarsalis";2;"CO2";"Carbon dioxide baited trap";FALSE
"4";4;3033443;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;4;4;"female";"Females - Mixed";35;"Aedes melanimon";"Ae melanimon";3;"GRVD";"Gravid trap";FALSE
"5";5;3033443;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;3;"male";"Males";70;"Culex tarsalis";"Cx tarsalis";3;"GRVD";"Gravid trap";FALSE
"6";6;3033489;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;43;4;"female";"Females - Mixed";35;"Aedes melanimon";"Ae melanimon";2;"CO2";"Carbon dioxide baited trap";FALSE
"7";7;3033489;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;1;4;"female";"Females - Mixed";58;"Culiseta inornata";"Cs inornata";2;"CO2";"Carbon dioxide baited trap";FALSE
"8";8;3033489;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;180;4;"female";"Females - Mixed";64;"Culex erythrothorax";"Cx erythrothorax";2;"CO2";"Carbon dioxide baited trap";FALSE
"9";9;3033489;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;25;4;"female";"Females - Mixed";65;"Culex pipiens";"Cx pipiens";2;"CO2";"Carbon dioxide baited trap";FALSE
"10";10;3033489;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;35;4;"female";"Females - Mixed";70;"Culex tarsalis";"Cx tarsalis";2;"CO2";"Carbon dioxide baited trap";FALSE
"11";11;3033492;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;NA;NA;NA;NA;NA;NA;NA;3;"GRVD";"Gravid trap";FALSE
"12";12;3033496;"2023-10-20T07:00:00.000Z";1;2023;1;TRUE;2;4;"female";"Females - Mixed";35;"Aedes melanimon";"Ae melanimon";2;"CO2";"Carbon dioxide baited trap";FALSE
"13";13;3033497;"2023-10-20T07:00:00.000Z";1;2023;1;FALSE;81;4;"female";"Females - Mixed";35;"Aedes melanimon";"Ae melanimon";2;"CO2";"Carbon dioxide baited trap";FALSE
